suburb,property_type,bedrooms,bathrooms,parking,land_size_sqm,floor_area_sqm,year_built,property_age_years,sale_date,sale_year,sale_price,distance_to_cbd_km,school_rating
Chatswood,Townhouse,3,2,2,180,222,1999,25,2022-10-05,2022,2352379,11.0,7.9
Chatswood,House,3,2,3,424,200,1996,28,2023-02-26,2023,3355168,10.6,7.8
Parramatta,Apartment,2,2,1,0,109,2021,3,2023-02-22,2023,954162,24.0,5.2
Chatswood,Apartment,3,2,1,0,153,2006,18,2022-04-05,2022,1672535,8.3,9.9
Chatswood,Townhouse,4,3,2,199,133,1973,51,2022-10-03,2022,2118183,13.8,9.7
Parramatta,Townhouse,1,1,2,206,122,2016,8,2024-01-10,2024,1253913,21.2,5.4
Parramatta,Apartment,4,4,1,0,148,2019,5,2022-11-06,2022,1165313,23.2,6.1
Bondi,House,3,2,2,515,320,2006,18,2024-08-16,2024,6096090,6.8,7.8
Chatswood,Townhouse,4,3,2,264,146,1977,47,2022-04-02,2022,2237237,8.2,8.3
Bondi,Apartment,1,1,1,0,94,1997,27,2022-02-26,2022,1679739,6.4,6.0
Parramatta,House,3,2,2,420,235,2017,7,2022-12-20,2022,1702317,23.0,6.0
Chatswood,House,2,1,2,425,265,2019,5,2022-04-24,2022,3276637,9.0,10.0
Parramatta,Townhouse,2,2,2,155,135,2022,2,2023-03-08,2023,1362363,24.4,6.0
Bondi,House,2,1,2,514,272,2020,4,2022-06-24,2022,5450026,6.8,7.4
Chatswood,Apartment,1,1,1,0,77,2017,7,2022-04-06,2022,1156671,8.0,7.6
Bondi,Apartment,5,4,2,0,196,2003,21,2024-08-03,2024,2551195,4.9,8.0
Parramatta,Townhouse,3,2,2,292,191,2013,11,2023-12-23,2023,1414322,23.9,6.6
Chatswood,House,3,2,3,395,213,1976,48,2022-03-13,2022,3232681,7.8,7.9
Bondi,Apartment,2,1,1,0,104,1971,53,2022-05-22,2022,1864198,7.5,6.5
Parramatta,House,3,3,1,431,211,2021,3,2022-01-04,2022,1673085,23.7,7.6
Parramatta,Apartment,2,2,0,0,118,2014,10,2022-04-12,2022,894310,21.5,5.2
Parramatta,House,2,2,2,268,170,2019,5,2023-08-24,2023,1615012,24.3,6.9
Chatswood,Townhouse,2,2,2,231,110,1978,46,2022-04-11,2022,1811276,7.4,6.8
Parramatta,House,2,2,1,528,298,2010,14,2023-09-22,2023,1731210,23.4,7.1
Bondi,Apartment,2,2,1,0,126,1988,36,2024-03-18,2024,2048082,6.9,8.3
Bondi,Apartment,3,2,1,0,126,2008,16,2022-04-08,2022,1821531,6.8,8.4
Parramatta,House,1,1,1,555,285,2015,9,2024-02-21,2024,1745084,21.2,6.4
Bondi,Apartment,3,3,1,0,122,1985,39,2023-09-21,2023,2089085,5.6,8.8
Chatswood,House,4,3,2,599,294,2021,3,2024-04-20,2024,3677241,12.4,10.0
Parramatta,House,4,3,2,369,234,2021,3,2024-01-13,2024,1896949,24.8,6.2
Chatswood,House,3,2,1,431,224,2000,24,2022-12-09,2022,3050859,11.1,8.1
Parramatta,House,3,3,1,731,422,2010,14,2023-11-03,2023,1976247,24.4,6.6
Parramatta,Townhouse,2,2,3,129,130,2010,14,2024-04-04,2024,1237811,24.3,6.1
Chatswood,Apartment,3,2,1,0,135,1982,42,2022-06-06,2022,1416178,9.5,8.0
Parramatta,Apartment,3,3,2,0,151,2021,3,2024-04-10,2024,1069296,23.1,6.1
Bondi,Apartment,3,2,0,0,145,1964,60,2023-01-08,2023,1935242,4.8,8.9
Parramatta,Apartment,3,2,1,0,138,2021,3,2023-09-01,2023,1061151,22.9,7.1
Chatswood,Apartment,2,1,1,0,127,1975,49,2023-07-13,2023,1235897,11.8,8.1
Chatswood,House,2,1,1,639,308,1978,46,2024-05-27,2024,3414158,9.0,6.5
Chatswood,Apartment,3,2,0,0,146,1970,54,2022-06-24,2022,1346978,11.5,7.3
Bondi,Apartment,5,4,1,0,176,1971,53,2022-07-13,2022,2571993,7.1,7.9
Parramatta,House,3,2,3,337,186,2016,8,2022-04-08,2022,1763107,20.9,4.8
Parramatta,House,4,3,3,377,222,2021,3,2023-04-24,2023,1765226,21.3,6.7
Bondi,House,2,1,2,494,240,1965,59,2023-03-21,2023,5200851,8.4,6.6
Bondi,Apartment,1,1,2,0,114,2005,19,2022-06-18,2022,1877560,7.8,7.6
Parramatta,Apartment,2,2,2,0,127,2016,8,2024-05-14,2024,979078,23.2,6.6
Parramatta,Apartment,2,1,1,0,112,2022,2,2023-04-07,2023,880410,22.6,6.6
Bondi,Apartment,2,1,1,0,148,1983,41,2024-08-18,2024,1909559,7.3,7.2
Parramatta,Apartment,3,2,0,0,149,2016,8,2023-03-17,2023,1043437,24.3,6.2
Parramatta,Apartment,2,2,1,0,123,2015,9,2022-02-11,2022,906956,25.2,5.9
Parramatta,Townhouse,2,1,1,114,173,2017,7,2022-05-24,2022,1270386,25.3,6.9
Bondi,Apartment,3,2,1,0,135,1976,48,2022-12-03,2022,2044520,7.6,8.1
Parramatta,Townhouse,2,2,1,204,158,2015,9,2024-08-11,2024,1287068,22.7,5.5
Chatswood,Townhouse,3,2,3,193,156,1982,42,2024-07-26,2024,2155683,10.2,8.5
Bondi,Apartment,2,1,1,0,102,2015,9,2024-03-09,2024,1948351,7.8,7.7
Bondi,Apartment,2,1,2,0,139,2001,23,2023-07-13,2023,2151359,7.8,7.6
Chatswood,Apartment,4,3,0,0,102,2014,10,2022-02-22,2022,1555527,12.0,8.6
Chatswood,Apartment,3,3,1,0,160,1984,40,2022-03-06,2022,1360608,13.2,8.2
Bondi,House,3,2,2,431,263,1960,64,2024-09-20,2024,5237809,6.7,7.7
Chatswood,House,3,2,1,542,287,1995,29,2022-09-06,2022,3564977,13.2,9.0
Bondi,Apartment,4,4,1,0,149,1974,50,2024-12-19,2024,2408959,8.8,7.6
Chatswood,Townhouse,3,3,2,140,139,2016,8,2023-01-04,2023,2179294,9.8,8.9
Bondi,Apartment,4,4,2,0,153,1960,64,2023-02-13,2023,2266748,9.2,8.3
Chatswood,Apartment,3,2,1,0,125,1979,45,2022-07-01,2022,1357555,12.5,7.0
Bondi,Apartment,4,4,1,0,161,2001,23,2024-10-21,2024,2174860,6.3,8.3
Chatswood,House,2,1,2,288,134,1974,50,2022-12-20,2022,2431875,12.6,8.8
Chatswood,Apartment,3,2,1,0,151,1982,42,2024-03-25,2024,1345867,11.6,7.6
Chatswood,Townhouse,3,2,2,224,186,1972,52,2023-12-16,2023,2132323,13.6,9.1
Bondi,Apartment,2,1,2,0,127,1962,62,2024-05-09,2024,1934904,6.4,7.2
Chatswood,Apartment,4,4,1,0,169,1994,30,2023-01-17,2023,1649328,9.5,8.3
Chatswood,House,3,2,3,391,200,1983,41,2022-07-04,2022,3213989,7.0,8.1
Parramatta,Townhouse,3,3,3,218,209,2017,7,2024-07-12,2024,1391069,23.9,6.7
Bondi,Apartment,4,4,1,0,156,1977,47,2024-12-06,2024,2297714,7.6,6.9
Chatswood,Apartment,3,2,1,0,143,1991,33,2024-03-18,2024,1401528,9.2,9.2
Chatswood,Apartment,2,2,1,0,122,1971,53,2023-02-06,2023,1271677,9.9,8.4
Bondi,Apartment,1,1,0,0,133,1977,47,2023-09-25,2023,1661034,5.0,7.2
Parramatta,Apartment,3,3,1,0,115,2015,9,2023-10-02,2023,998863,24.8,7.1
Parramatta,Apartment,3,3,0,0,136,2016,8,2022-05-07,2022,1095342,22.3,6.2
Bondi,Townhouse,4,3,2,225,185,2002,22,2023-11-07,2023,3691459,11.6,8.3
Parramatta,Apartment,3,3,2,0,135,2015,9,2024-12-15,2024,1018272,22.7,7.3
Chatswood,House,4,3,2,258,119,2015,9,2022-01-05,2022,3073502,8.9,7.4
Parramatta,Apartment,2,1,1,0,126,2013,11,2024-05-03,2024,901994,22.4,7.4
Parramatta,Townhouse,2,1,2,220,184,2015,9,2022-02-14,2022,1317781,20.9,5.3
Parramatta,Apartment,2,1,1,0,123,2019,5,2024-03-17,2024,885393,23.7,7.4
Bondi,Apartment,1,1,1,0,91,1979,45,2022-01-22,2022,1692891,6.4,9.1
Bondi,House,3,3,2,362,229,1968,56,2022-10-23,2022,5135644,8.7,8.2
Bondi,Apartment,2,2,1,0,107,2001,23,2023-08-03,2023,1954117,6.6,5.8
Bondi,Apartment,2,1,2,0,149,1970,54,2024-04-08,2024,1927614,9.1,8.4
Chatswood,Townhouse,2,2,2,275,100,1987,37,2023-03-20,2023,2124642,11.1,10.0
Bondi,House,5,5,1,316,143,1969,55,2024-02-08,2024,5607061,7.0,7.3
Bondi,Apartment,3,3,0,0,150,1977,47,2023-10-21,2023,1998578,9.4,7.5
Bondi,Apartment,2,1,0,0,121,1996,28,2023-01-26,2023,2033879,8.4,6.5
Parramatta,House,3,2,2,552,289,2022,2,2022-09-18,2022,2021145,27.4,6.7
Chatswood,Townhouse,2,1,2,188,157,1999,25,2022-05-12,2022,2002253,9.4,9.5
Chatswood,House,2,1,2,377,200,2019,5,2022-11-02,2022,3210779,10.1,9.1
Bondi,Apartment,3,2,0,0,107,2013,11,2023-02-05,2023,2026014,9.4,10.0
Parramatta,Apartment,1,1,1,0,94,2010,14,2022-05-01,2022,818931,20.7,6.5
Bondi,Townhouse,2,2,2,204,128,2016,8,2024-02-05,2024,3092245,9.0,6.2
Chatswood,House,3,2,2,591,382,1977,47,2023-05-25,2023,3436572,10.7,8.6
Bondi,Apartment,2,1,2,0,135,2000,24,2024-08-12,2024,1796373,5.7,5.6
